id	mode_of_inheritance	Gene	confidence_level	name	disease_group	disease_sub_group	status
1	AD	ABL1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	ACTA2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	ADAMTSL4	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	ARIH1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	XL	BGN	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL1A1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL1A2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	COL3A1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL5A1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL5A2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	EFEMP2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	ELN	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	FBLN5	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	FBN1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	FBN2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	FLCN	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	XL	FLNA	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	IPO8	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	LOX	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	MYH11	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	MYLK	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	NOTCH1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	PLOD1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	PRKG1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	SKI	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	SLC2A10	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	SMAD2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	SMAD3	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	SMAD4	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	TGFB2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	TGFB3	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	TGFBR1	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	TGFBR2	3	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	CBS	2	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	ABCC6	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	ACVR1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	ADAMTS2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	ALDH18A1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	ATP6V0A2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	XL	ATP7A	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	B4GALT7	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AR	CHST14	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	COL11A1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	COL11A2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL2A1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL4A1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD	COL9A1	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
1	AD/AR	COL9A2	1	Thoracic aortic aneurysm or dissection	Cardiovascular disorders	Connective tissue disorders and aortopathies	public
