id	Gene	SYMBOL
1	ABL1	ABL1
1	ACTA2	ACTA2
1	ADAMTSL4	ADAMTSL4
1	ARIH1	ARIH1
1	BGN	BGN
1	COL1A1	COL1A1
1	COL1A2	COL1A2
1	COL3A1	COL3A1
1	COL5A1	COL5A1
1	COL5A2	COL5A2
1	EFEMP2	EFEMP2
1	ELN	ELN
1	FBLN5	FBLN5
1	FBN1	FBN1
1	FBN2	FBN2
1	FLCN	FLCN
1	FLNA	FLNA
1	IPO8	IPO8
1	LOX	LOX
1	MYH11	MYH11
1	MYLK	MYLK
1	NOTCH1	NOTCH1
1	PLOD1	PLOD1
1	PRKG1	PRKG1
1	SKI	SKI
1	SLC2A10	SLC2A10
1	SMAD2	SMAD2
1	SMAD3	SMAD3
1	SMAD4	SMAD4
1	TGFB2	TGFB2
1	TGFB3	TGFB3
1	TGFBR1	TGFBR1
1	TGFBR2	TGFBR2
1	CBS	CBS
1	ABCC6	ABCC6
1	ACVR1	ACVR1
1	ADAMTS2	ADAMTS2
1	ALDH18A1	ALDH18A1
1	ATP6V0A2	ATP6V0A2
1	ATP7A	ATP7A
1	B4GALT7	B4GALT7
1	CHST14	CHST14
1	COL11A1	COL11A1
1	COL11A2	COL11A2
1	COL2A1	COL2A1
1	COL4A1	COL4A1
1	COL9A1	COL9A1
1	COL9A2	COL9A2
1	COL9A3	COL9A3
1	EMILIN1	EMILIN1
1	FKBP14	FKBP14
1	FOXE3	FOXE3
1	HNRNPK	HNRNPK
1	KCNN1	KCNN1
1	LTBP2	LTBP2
1	MAT2A	MAT2A
1	MED12	MED12
1	MFAP5	MFAP5
1	MYLK2	MYLK2
1	PKD1	PKD1
1	PKD2	PKD2
1	SLC39A13	SLC39A13
1	SMAD6	SMAD6
1	TNXB	TNXB
1	ZNF469	ZNF469
3	BMP4	BMP4
3	COL11A1	COL11A1
3	COL11A2	COL11A2
3	COL2A1	COL2A1
3	COL9A1	COL9A1
3	COL9A2	COL9A2
3	COL9A3	COL9A3
3	GZF1	GZF1
3	VCAN	VCAN
3	LOXL3	LOXL3
3	LRP2	LRP2
5	MNX1	MNX1
5	FUZ	FUZ
5	GDF11	GDF11
5	GDF6	GDF6
5	PAM16	PAM16
5	PCSK5	PCSK5
5	SHH	SHH
5	T	T
5	VANGL1	VANGL1
5	VANGL2	VANGL2
5	ZIC3	ZIC3
6	ABCG5	ABCG5
6	ABCG8	ABCG8
6	APOB	APOB
6	APOE	APOE
6	CYP27A1	CYP27A1
6	LDLR	LDLR
6	LDLRAP1	LDLRAP1
6	LIPA	LIPA
6	PCSK9	PCSK9
6	ABCA1	ABCA1
6	ACE	ACE
6	ANGPTL3	ANGPTL3
6	APOA1	APOA1
6	APOA2	APOA2
6	APOA5	APOA5
6	APOC2	APOC2
6	APOC3	APOC3
6	CELSR2	CELSR2
6	CETP	CETP
6	EPHX2	EPHX2
6	ESR1	ESR1
6	F13A1	F13A1
6	F7	F7
6	GCLC	GCLC
6	GCLM	GCLM
6	GHR	GHR
6	GPD1	GPD1
6	GPIHBP1	GPIHBP1
6	HFE	HFE
6	ITGB3	ITGB3
6	LCAT	LCAT
6	LIPC	LIPC
6	LMF1	LMF1
6	LPL	LPL
6	MTTP	MTTP
6	MYLIP	MYLIP
6	NYNRIN	NYNRIN
6	SAR1B	SAR1B
6	SCARB1	SCARB1
6	SLC22A1	SLC22A1
6	SREBF2	SREBF2
6	ST3GAL4	ST3GAL4
6	STAP1	STAP1
7	AAAS	AAAS
7	ELP1	ELP1
7	GMPPA	GMPPA
7	KIF1A	KIF1A
7	NGF	NGF
7	NTRK1	NTRK1
7	PHOX2B	PHOX2B
7	PRDM12	PRDM12
7	RETREG1	RETREG1
7	SCN11A	SCN11A
7	SCN9A	SCN9A
7	SPTLC1	SPTLC1
7	SPTLC2	SPTLC2
7	WNK1	WNK1
7	PRNP	PRNP
7	TTR	TTR
7	ATL1	ATL1
7	ATL3	ATL3
7	COQ2	COQ2
7	DNMT1	DNMT1
7	DST	DST
7	MYO1H	MYO1H
7	TECPR2	TECPR2
8	BDNF	BDNF
8	FANCM	FANCM
8	LIPI	LIPI
8	RAD51C	RAD51C
8	TMPO	TMPO
9	AMH	AMH
9	AMHR2	AMHR2
9	AR	AR
9	ARX	ARX
9	ATRX	ATRX
9	CDKN1C	CDKN1C
9	CHD7	CHD7
9	CTU2	CTU2
9	CUL4B	CUL4B
9	CYB5A	CYB5A
9	CYP11A1	CYP11A1
9	CYP11B1	CYP11B1
9	CYP17A1	CYP17A1
9	CYP19A1	CYP19A1
9	CYP21A2	CYP21A2
9	DHCR7	DHCR7
9	DHH	DHH
9	DHX37	DHX37
9	GATA4	GATA4
9	HOXA13	HOXA13
9	HSD17B3	HSD17B3
9	HSD3B2	HSD3B2
9	LHCGR	LHCGR
9	MAMLD1	MAMLD1
9	MAP3K1	MAP3K1
9	MYRF	MYRF
9	NR0B1	NR0B1
9	NR2F2	NR2F2
9	NR3C1	NR3C1
9	NR5A1	NR5A1
9	POR	POR
9	PPP1R12A	PPP1R12A
9	RPL10	RPL10
9	RSPO1	RSPO1
9	SAMD9	SAMD9
9	SGPL1	SGPL1
9	SOX10	SOX10
9	SOX9	SOX9
9	SRD5A2	SRD5A2
9	SRY	SRY
9	STAR	STAR
9	TOE1	TOE1
9	TSPYL1	TSPYL1
9	WT1	WT1
9	ESR2	ESR2
9	FGFR2	FGFR2
9	HHAT	HHAT
9	PAX8	PAX8
9	PBX1	PBX1
9	PRDM13	PRDM13
9	TCF12	TCF12
9	ZFPM2	ZFPM2
9	AKR1C2	AKR1C2
9	ATP6V0A4	ATP6V0A4
9	CBX2	CBX2
9	DGKQ	DGKQ
9	DMRT1	DMRT1
9	ERAL1	ERAL1
9	GLI2	GLI2
9	HSD17B2	HSD17B2
9	INPP5E	INPP5E
9	MCM5	MCM5
9	PAX6	PAX6
9	SEMA3E	SEMA3E
9	TAF4B	TAF4B
9	TWIST2	TWIST2
9	WNT2B	WNT2B
11	B9D1	B9D1
11	B9D2	B9D2
11	CC2D2A	CC2D2A
11	CCL2	CCL2
11	CDON	CDON
11	CEP290	CEP290
11	DLL3	DLL3
11	FOXH1	FOXH1
11	FUZ	FUZ
11	GATA3	GATA3
11	GDF3	GDF3
11	GDF6	GDF6
11	GLI2	GLI2
11	HES7	HES7
11	HYLS1	HYLS1
11	KCNJ10	KCNJ10
11	KIF14	KIF14
11	LFNG	LFNG
11	MEOX1	MEOX1
11	MESP2	MESP2
11	MKS1	MKS1
11	MTHFD1	MTHFD1
11	MTHFR	MTHFR
11	MTR	MTR
11	MTRR	MTRR
11	NODAL	NODAL
11	NPHP3	NPHP3
11	PIK3CA	PIK3CA
11	PTCH1	PTCH1
11	PTK7	PTK7
11	RPGRIP1L	RPGRIP1L
11	SHROOM3	SHROOM3
11	T	T
11	TBX6	TBX6
11	TCTN2	TCTN2
11	TGIF1	TGIF1
11	TMEM216	TMEM216
11	TMEM231	TMEM231
11	TMEM5	TMEM5
11	TMEM67	TMEM67
11	VANGL1	VANGL1
11	VANGL2	VANGL2
11	ZIC2	ZIC2
11	HPE1	HPE1
13	SCN5A	SCN5A
